Tick;Step;Energy;Rule;Sheep_gain_from_food;Sheep_reproduce;0_Position;1_Position;ID
0;0;5;;4;4;58,0;74,0;51e7366f-19a9-464a-b129-d7673f5d2dfb
0;0;2;;4;4;74,0;33,0;a8cae50d-c1e5-4d5e-97e4-4af5bab6ab6b
0;0;3;;4;4;67,0;73,0;ac39e36e-efb0-47e9-8c21-d1f520e8e317
0;0;6;;4;4;12,0;4,0;2aeeee6b-fe17-4f5f-8d79-1066bbd5cc5b
0;0;7;;4;4;39,0;68,0;e6713625-6962-4a83-9e42-a6aa5ca58540
0;0;7;;4;4;87,0;5,0;3695aefa-ef47-419a-a674-45f4eca167cd
0;0;2;;4;4;37,0;92,0;f53cf129-2696-4c49-a1bd-6845ae642ff5
0;0;1;;4;4;86,0;9,0;63c3a0e0-6b57-4787-8c88-11d341780d4e
0;0;7;;4;4;43,0;9,0;74e9332f-5205-4b26-94fc-9c0a1a2ab708
0;0;3;;4;4;99,0;1,0;4d2322b3-c40c-49ce-be07-707616d94cf0
0;0;4;;4;4;26,0;74,0;8ba747c7-4929-4fce-9de6-f408f5468942
0;0;2;;4;4;16,0;82,0;585c0b51-b59b-437b-b2f5-87615ed95514
0;0;3;;4;4;83,0;25,0;97739507-d11e-4f9b-a731-0470ed3b017c
0;0;3;;4;4;36,0;18,0;2d30dfa6-42b4-4b71-83b3-2b55170b286c
0;0;2;;4;4;47,0;38,0;256de3f5-e87b-418b-a750-5e948510814f
0;0;5;;4;4;65,0;12,0;f0bbe619-335d-429f-872c-3f9f42144027
0;0;1;;4;4;57,0;15,0;e2a13329-d9f8-4848-b4cb-81a6be08c4f8
0;0;6;;4;4;17,0;74,0;1442e605-f4ba-4b56-a119-5a3498c63063
0;0;4;;4;4;42,0;97,0;488797c2-b6c0-44f8-88a4-531eb42a5e54
0;0;7;;4;4;81,0;79,0;467ca41e-1f6a-4594-b1ef-4db98e25702e
0;0;1;;4;4;83,0;15,0;41a0e685-039f-49b2-a7cd-b1f26d65e581
0;0;1;;4;4;77,0;51,0;a9bd759f-4ee1-4f47-8ebb-9f4524c5f656
0;0;2;;4;4;65,0;43,0;c08fd7d5-c6ef-4b8c-8188-1dc614b26158
0;0;1;;4;4;66,0;22,0;d3a934a3-fb1c-4fd7-946a-51cadc661a1c
0;0;1;;4;4;83,0;12,0;f889009d-e395-4977-aa34-fdbec9dd7952
0;0;0;;4;4;97,0;21,0;79c4e542-1bc1-41d7-ad6d-8196c8c7adf5
0;0;5;;4;4;4,0;3,0;14cef8c0-aadd-44fb-9b38-0954f9e57b47
0;0;4;;4;4;1,0;23,0;629ceb42-d818-4899-af35-bc8cdddf9b94
0;0;1;;4;4;13,0;31,0;d08699ce-fcd8-43d3-b3d6-fc87f8a8d296
0;0;6;;4;4;54,0;40,0;39677188-13c2-4c1e-8426-356dcc781ab7
0;0;1;;4;4;9,0;3,0;d4108a98-114c-4bb0-95b7-fabb42102b6e
0;0;3;;4;4;21,0;43,0;5329fa39-b43b-4f7c-b246-61369d6be57e
1;1;1;R2 - No food found;4;4;57,0;83,0;6fd9de57-b52f-42f0-8beb-57d3ece1ee6a
1;1;3;R2 - No food found;4;4;97,0;47,0;301a1a67-13e3-4f91-a296-b8315700eff5
1;1;0;R2 - No food found;4;4;34,0;15,0;e74b9205-a9fb-4198-b301-57d72ebf56a9
1;1;4;R2 - No food found;4;4;92,0;51,0;47283157-f1a5-44dd-bf86-ce36b79b4335
1;1;2;R2 - No food found;4;4;42,0;34,0;fe79838e-f53c-48e5-9989-37bb8780670d
1;1;3;R2 - No food found;4;4;34,0;60,0;91ab30fa-9553-41c8-831b-05107329596b
1;1;2;R2 - No food found;4;4;4,0;70,0;77b63f41-a5c6-450c-9dba-a9e7d4ce8f10
1;1;3;R2 - No food found;4;4;44,0;67,0;1d3155a7-07f4-4a52-ac72-df7f71a6f3eb
1;1;6;R2 - No food found;4;4;91,0;60,0;e14b26b4-3a4b-4149-9aac-9e8069fb6fb7
1;1;3;R2 - No food found;4;4;21,0;7,0;8c5f02c8-ad05-472d-9a02-576c591c62d2
