Tick,Step,DateTime,GrassRegrowthPerStep,ID
64,64,2022-02-23T14:50:04.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
65,65,2022-02-23T14:50:05.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
66,66,2022-02-23T14:50:06.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
67,67,2022-02-23T14:50:07.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
68,68,2022-02-23T14:50:08.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
69,69,2022-02-23T14:50:09.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
70,70,2022-02-23T14:50:10.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
71,71,2022-02-23T14:50:11.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
72,72,2022-02-23T14:50:12.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
73,73,2022-02-23T14:50:13.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
74,74,2022-02-23T14:50:14.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
75,75,2022-02-23T14:50:15.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
76,76,2022-02-23T14:50:16.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
77,77,2022-02-23T14:50:17.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
78,78,2022-02-23T14:50:18.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
79,79,2022-02-23T14:50:19.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
80,80,2022-02-23T14:50:20.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
81,81,2022-02-23T14:50:21.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
82,82,2022-02-23T14:50:22.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
83,83,2022-02-23T14:50:23.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
84,84,2022-02-23T14:50:24.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
85,85,2022-02-23T14:50:25.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
86,86,2022-02-23T14:50:26.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
87,87,2022-02-23T14:50:27.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
88,88,2022-02-23T14:50:28.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
89,89,2022-02-23T14:50:29.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
90,90,2022-02-23T14:50:30.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
91,91,2022-02-23T14:50:31.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
92,92,2022-02-23T14:50:32.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
93,93,2022-02-23T14:50:33.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
94,94,2022-02-23T14:50:34.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
95,95,2022-02-23T14:50:35.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
96,96,2022-02-23T14:50:36.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
97,97,2022-02-23T14:50:37.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
98,98,2022-02-23T14:50:38.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
99,99,2022-02-23T14:50:39.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
100,100,2022-02-23T14:50:40.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
101,101,2022-02-23T14:50:41.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
102,102,2022-02-23T14:50:42.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
103,103,2022-02-23T14:50:43.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
104,104,2022-02-23T14:50:44.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
105,105,2022-02-23T14:50:45.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
106,106,2022-02-23T14:50:46.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
107,107,2022-02-23T14:50:47.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
108,108,2022-02-23T14:50:48.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
109,109,2022-02-23T14:50:49.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
110,110,2022-02-23T14:50:50.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
111,111,2022-02-23T14:50:51.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
112,112,2022-02-23T14:50:52.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
113,113,2022-02-23T14:50:53.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
114,114,2022-02-23T14:50:54.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
115,115,2022-02-23T14:50:55.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
116,116,2022-02-23T14:50:56.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
117,117,2022-02-23T14:50:57.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
118,118,2022-02-23T14:50:58.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
119,119,2022-02-23T14:50:59.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
120,120,2022-02-23T14:51:00.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
121,121,2022-02-23T14:51:01.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
122,122,2022-02-23T14:51:02.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
123,123,2022-02-23T14:51:03.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
124,124,2022-02-23T14:51:04.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
125,125,2022-02-23T14:51:05.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
126,126,2022-02-23T14:51:06.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
127,127,2022-02-23T14:51:07.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
128,128,2022-02-23T14:51:08.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
129,129,2022-02-23T14:51:09.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
130,130,2022-02-23T14:51:10.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
131,131,2022-02-23T14:51:11.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
132,132,2022-02-23T14:51:12.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
